DIST_CHEGADA, TEMPO_MEDIO_ATENDIMENTO, DURACAO_SIMULACAO, QNT_REQUISICOES_RECEBIDAS, QNT_REQUISICOES_ATENDIDAS, TEMPO_MEDIO_ATENDIDO, QNT_MEDIA_ELEMS_EM_FILA, PARAM1, PARAM2
Exponencial,0.50,10.00,9.00,9.00,0.52,0.000,1.00,NA 
Exponencial,0.50,10.00,11.00,11.00,0.76,0.091,1.00,NA 
Exponencial,0.50,10.00,8.00,8.00,0.65,0.000,1.00,NA 
Exponencial,0.50,10.00,11.00,11.00,0.39,0.000,1.00,NA 
Exponencial,0.50,10.00,11.00,11.00,0.52,0.000,1.00,NA 
Exponencial,0.50,10.00,12.00,12.00,0.63,0.000,1.00,NA 
Exponencial,0.50,10.00,10.00,10.00,0.63,0.000,1.00,NA 
Exponencial,0.50,10.00,9.00,9.00,1.04,0.303,1.00,NA 
Exponencial,0.50,10.00,10.00,10.00,0.41,0.000,1.00,NA 
Exponencial,0.50,10.00,10.00,10.00,0.48,0.000,1.00,NA 
Exponencial,0.50,10.00,9.00,9.00,0.66,0.082,1.00,NA 
Exponencial,0.50,10.00,10.00,10.00,0.48,0.000,1.00,NA 
Exponencial,0.50,10.00,9.00,9.00,0.87,0.076,1.00,NA 
Exponencial,0.50,10.00,8.00,8.00,0.13,0.000,1.00,NA 
Exponencial,0.50,10.00,11.00,11.00,0.43,0.083,1.00,NA 
Exponencial,0.50,10.00,10.00,10.00,0.43,0.000,1.00,NA 
Exponencial,0.50,10.00,8.00,8.00,0.60,0.000,1.00,NA 
Exponencial,0.50,10.00,8.00,8.00,0.55,0.000,1.00,NA 
Exponencial,0.50,10.00,5.00,5.00,0.44,0.000,1.00,NA 
Exponencial,0.50,10.00,8.00,8.00,1.36,0.364,1.00,NA 
Exponencial,0.50,10.00,10.00,10.00,0.54,0.000,1.00,NA 
Exponencial,0.50,10.00,6.00,6.00,1.07,0.080,1.00,NA 
Exponencial,0.50,10.00,11.00,11.00,0.51,0.078,1.00,NA 
Exponencial,0.50,10.00,10.00,10.00,0.80,0.164,1.00,NA 
Exponencial,0.50,10.00,8.00,8.00,0.88,0.000,1.00,NA 
Exponencial,0.50,10.00,12.00,12.00,0.62,0.082,1.00,NA 
Exponencial,0.50,10.00,11.00,11.00,0.53,0.000,1.00,NA 
Exponencial,0.50,10.00,6.00,6.00,0.47,0.000,1.00,NA 
Exponencial,0.50,10.00,6.00,6.00,0.28,0.000,1.00,NA 
Exponencial,0.50,10.00,10.00,9.00,0.59,0.091,1.00,NA 
Exponencial,1.00,10.00,8.00,8.00,1.08,0.341,1.00,NA 
Exponencial,1.00,10.00,6.00,5.00,1.73,0.182,1.00,NA 
Exponencial,1.00,10.00,10.00,10.00,1.32,0.409,1.00,NA 
Exponencial,1.00,10.00,9.00,9.00,0.68,0.000,1.00,NA 
Exponencial,1.00,10.00,10.00,10.00,0.84,0.000,1.00,NA 
Exponencial,1.00,10.00,8.00,7.00,0.72,0.091,1.00,NA 
Exponencial,1.00,10.00,10.00,7.00,1.86,0.603,1.00,NA 
Exponencial,1.00,10.00,7.00,7.00,1.06,0.081,1.00,NA 
Exponencial,1.00,10.00,8.00,7.00,1.61,0.532,1.00,NA 
Exponencial,1.00,10.00,9.00,9.00,1.61,0.418,1.00,NA 
Exponencial,1.00,10.00,10.00,10.00,0.89,0.091,1.00,NA 
Exponencial,1.00,10.00,9.00,9.00,1.75,0.331,1.00,NA 
Exponencial,1.00,10.00,8.00,8.00,1.20,0.081,1.00,NA 
Exponencial,1.00,10.00,11.00,11.00,1.28,0.078,1.00,NA 
Exponencial,1.00,10.00,10.00,10.00,0.55,0.000,1.00,NA 
Exponencial,1.00,10.00,9.00,8.00,0.91,0.091,1.00,NA 
Exponencial,1.00,10.00,9.00,9.00,0.59,0.000,1.00,NA 
Exponencial,1.00,10.00,11.00,11.00,0.51,0.000,1.00,NA 
Exponencial,1.00,10.00,6.00,6.00,2.46,0.805,1.00,NA 
Exponencial,1.00,10.00,12.00,12.00,0.60,0.000,1.00,NA 
Exponencial,1.00,10.00,9.00,9.00,1.12,0.182,1.00,NA 
Exponencial,1.00,10.00,7.00,7.00,0.46,0.000,1.00,NA 
Exponencial,1.00,10.00,8.00,8.00,2.25,0.864,1.00,NA 
Exponencial,1.00,10.00,8.00,6.00,2.06,0.348,1.00,NA 
Exponencial,1.00,10.00,7.00,5.00,4.07,1.523,1.00,NA 
Exponencial,1.00,10.00,8.00,3.00,2.08,1.281,1.00,NA 
Exponencial,1.00,10.00,9.00,6.00,1.65,0.618,1.00,NA 
Exponencial,1.00,10.00,9.00,9.00,1.72,0.443,1.00,NA 
Exponencial,1.00,10.00,9.00,9.00,0.75,0.076,1.00,NA 
Exponencial,1.00,10.00,8.00,8.00,0.84,0.000,1.00,NA 
