DIST_CHEGADA, TEMPO_MEDIO_ATENDIMENTO, DURACAO_SIMULACAO, QNT_REQUISICOES_RECEBIDAS, QNT_REQUISICOES_ATENDIDAS, TEMPO_MEDIO_ATENDIDO, QNT_MEDIA_ELEMS_EM_FILA, PARAM1, PARAM2
Normal,0.50,10.00,13.00,13.00,0.36,0.000,0.50,0.40 
Normal,0.50,10.00,12.00,12.00,0.47,0.000,0.50,0.40 
Normal,0.50,10.00,11.00,11.00,0.73,0.091,0.50,0.40 
Normal,0.50,10.00,12.00,12.00,0.34,0.000,0.50,0.40 
Normal,0.50,10.00,13.00,13.00,0.56,0.000,0.50,0.40 
Normal,0.50,10.00,11.00,11.00,0.42,0.000,0.50,0.40 
Normal,0.50,10.00,11.00,11.00,0.77,0.091,0.50,0.40 
Normal,0.50,10.00,12.00,12.00,0.50,0.000,0.50,0.40 
Normal,0.50,10.00,12.00,12.00,0.52,0.000,0.50,0.40 
Normal,0.50,10.00,13.00,13.00,0.41,0.000,0.50,0.40 
Normal,0.50,10.00,12.00,12.00,0.52,0.000,0.50,0.40 
Normal,0.50,10.00,12.00,12.00,0.63,0.000,0.50,0.40 
Normal,0.50,10.00,12.00,12.00,0.47,0.000,0.50,0.40 
Normal,0.50,10.00,12.00,12.00,0.42,0.000,0.50,0.40 
Normal,0.50,10.00,10.00,10.00,1.18,0.331,0.50,0.40 
Normal,0.50,10.00,10.00,10.00,0.71,0.091,0.50,0.40 
Normal,0.50,10.00,12.00,12.00,0.68,0.082,0.50,0.40 
Normal,0.50,10.00,12.00,12.00,0.33,0.000,0.50,0.40 
Normal,0.50,10.00,10.00,10.00,0.86,0.091,0.50,0.40 
Normal,0.50,10.00,11.00,11.00,0.40,0.000,0.50,0.40 
Normal,0.50,10.00,11.00,11.00,0.99,0.331,0.50,0.40 
Normal,0.50,10.00,12.00,12.00,0.28,0.000,0.50,0.40 
Normal,0.50,10.00,12.00,12.00,0.55,0.000,0.50,0.40 
Normal,0.50,10.00,11.00,11.00,0.74,0.076,0.50,0.40 
Normal,0.50,10.00,11.00,11.00,0.72,0.091,0.50,0.40 
Normal,0.50,10.00,13.00,13.00,0.42,0.000,0.50,0.40 
Normal,0.50,10.00,11.00,11.00,0.33,0.000,0.50,0.40 
Normal,0.50,10.00,11.00,11.00,0.70,0.078,0.50,0.40 
Normal,0.50,10.00,12.00,12.00,0.37,0.000,0.50,0.40 
Normal,0.50,10.00,12.00,12.00,0.33,0.000,0.50,0.40 
Normal,1.00,10.00,11.00,11.00,0.98,0.091,0.50,0.40 
Normal,1.00,10.00,10.00,9.00,1.18,0.255,0.50,0.40 
Normal,1.00,10.00,10.00,10.00,1.16,0.333,0.50,0.40 
Normal,1.00,10.00,10.00,10.00,1.40,0.164,0.50,0.40 
Normal,1.00,10.00,10.00,10.00,1.39,0.364,0.50,0.40 
Normal,1.00,10.00,10.00,10.00,1.43,0.364,0.50,0.40 
Normal,1.00,10.00,11.00,11.00,1.21,0.091,0.50,0.40 
Normal,1.00,10.00,10.00,10.00,1.11,0.182,0.50,0.40 
Normal,1.00,10.00,12.00,12.00,0.83,0.082,0.50,0.40 
Normal,1.00,10.00,10.00,10.00,0.65,0.000,0.50,0.40 
Normal,1.00,10.00,9.00,9.00,1.49,0.242,0.50,0.40 
Normal,1.00,10.00,10.00,10.00,1.05,0.159,0.50,0.40 
Normal,1.00,10.00,12.00,10.00,1.49,0.347,0.50,0.40 
Normal,1.00,10.00,9.00,7.00,2.40,1.040,0.50,0.40 
Normal,1.00,10.00,11.00,11.00,0.55,0.000,0.50,0.40 
Normal,1.00,10.00,12.00,12.00,0.61,0.000,0.50,0.40 
Normal,1.00,10.00,11.00,11.00,0.76,0.000,0.50,0.40 
Normal,1.00,10.00,11.00,11.00,0.93,0.083,0.50,0.40 
Normal,1.00,10.00,11.00,10.00,1.16,0.364,0.50,0.40 
Normal,1.00,10.00,10.00,10.00,0.92,0.169,0.50,0.40 
Normal,1.00,10.00,11.00,11.00,0.89,0.091,0.50,0.40 
Normal,1.00,10.00,11.00,10.00,0.96,0.091,0.50,0.40 
Normal,1.00,10.00,10.00,10.00,1.21,0.082,0.50,0.40 
Normal,1.00,10.00,12.00,12.00,0.59,0.000,0.50,0.40 
Normal,1.00,10.00,12.00,11.00,0.62,0.091,0.50,0.40 
Normal,1.00,10.00,11.00,11.00,1.03,0.091,0.50,0.40 
Normal,1.00,10.00,11.00,11.00,0.82,0.091,0.50,0.40 
Normal,1.00,10.00,13.00,13.00,0.76,0.000,0.50,0.40 
Normal,1.00,10.00,12.00,11.00,0.86,0.091,0.50,0.40 
Normal,1.00,10.00,10.00,10.00,1.08,0.167,0.50,0.40 
